source,target,weight
AVEL,VA03,1
AVEL,VA04,1
AVEL,VD02,1
AVEL,VD03,1
AVER,AIZR,1
AVER,AS01,6
AVER,AS02,4
AVER,AS03,1
AVER,AVAL,14
AVER,AVAR,33
AVER,AVDL,4
AVER,AVDR,4
AVER,AVEL,3
AVER,CEPDL,1
AVER,DA01,11
AVER,DA02,7
AVER,DA03,3
AVER,DB03,1
AVER,OLLL,1
AVER,RIMR,1
AVER,RMGR,1
AVER,SABD,1
AVER,SABVL,12
AVER,SABVR,11
AVER,URXR,1
AVER,VA01,5
AVER,VA02,4
AVER,VA03,1
AVER,VA04,2
AVFL,AIML,1
AVFL,AS10,1
AVFL,AVBL,4
AVFL,AVBR,1
AVFL,AVFR,12
AVFL,AVG,5
AVFL,AVHL,4
AVFL,AVHR,1
AVFL,AVJL,2
AVFL,AVL,5
AVFL,DVB,1
AVFL,HSNL,2
AVFL,HSNR,3
AVFL,PDER,1
AVFL,PVNL,1
AVFL,PVQL,1
AVFL,PVQR,1
AVFL,RIFL,1
AVFL,RIFR,1
AVFL,SMBVL,1
AVFL,VB01,2
AVFL,VB02,2
AVFL,VC01,1
AVFR,AIAL,1
AVFR,AIML,1
AVFR,ASHR,1
AVFR,AVAL,1
AVFR,AVBL,6
AVFR,AVBR,6
AVFR,AVFL,7
AVFR,AVG,1
AVFR,AVHL,3
AVFR,AVHR,3
AVFR,AVJL,5
AVFR,AVJR,1
AVFR,HSNL,4
AVFR,HSNR,3
AVFR,PVCR,1
AVFR,PVDL,1
AVFR,PVPR,1
AVFR,PVQL,2
AVFR,RMDDL,1
AVFR,RMGL,1
AVFR,VA02,1
AVFR,VD11,1
AVG,AVAL,3
AVG,AVAR,3
AVG,AVBL,5
AVG,AVBR,3
AVG,AVDL,1
AVG,AVDR,3
AVG,AVEL,2
AVG,AVER,1
AVG,AVFL,3
AVG,AVG,2
AVG,AVJL,7
AVG,AVJR,3
AVG,DA08,1
AVG,DVC,2
AVG,PHAL,3
AVG,PVCL,1
AVG,PVCR,2
AVG,PVNL,2
AVG,PVNR,4
AVG,PVQR,2
AVG,PVT,2
AVG,VA06,1
AVG,VC01,2
AVHL,ADFR,5
AVHL,ASHR,1
AVHL,AVAR,1
AVHL,AVBL,2
AVHL,AVBR,1
AVHL,AVDL,1
AVHL,AVFL,1
AVHL,AVFR,5
AVHL,AVHR,1
AVHL,AVJL,4
AVHL,AVJR,1
AVHL,AWBR,3
AVHL,BDUR,1
AVHL,DD01,1
AVHL,PVPL,1
AVHL,PVPR,2
AVHL,PVQR,3
