a,b,weight
I2L,M2L,1
I2R,M1,1
I2R,M2R,1
I2R,MCR,1
I2R,NSMR,2
I3,M1,1
I3,M2R,1
I3,MI,1
I4,M2R,2
I4,M4,1
I5,M2L,1
I5,M2R,1
I5,M5,1
I6,M4,5
IL1DL,IL1DR,3
IL1DL,IL1L,2
IL1DL,RMEV,1
IL1DR,IL1R,8
IL1DR,RMDVR,1
IL1DR,RMEV,4
IL1L,IL1VL,8
IL1L,RIPL,1
IL1L,RMER,1
IL1L,URBL,2
IL1R,IL1VR,8
IL1VL,IL1VR,11
IL1VL,RMDDL,1
IL1VL,RMED,3
IL1VR,IL2VR,1
IL1VR,URAVR,4
IL2DL,URADL,1
IL2DR,RMED,1
IL2DR,URADR,1
IL2L,OLLL,2
IL2L,RMDL,2
IL2L,RMER,2
IL2L,RMGL,5
IL2L,URAVL,1
IL2L,URBL,4
IL2L,URXL,1
IL2R,RMGR,1
IL2R,URBR,4
IL2R,URXR,4
IL2VL,URAVL,3
LUAL,PLML,8
LUAL,PVCL,1
LUAL,PVNL,3
LUAL,PVR,6
LUAR,PLMR,9
LUAR,PVNR,2
LUAR,PVR,9
LUAR,PVT,4
LUAR,PVWL,3
LUAR,PVWR,3
M2L,M4,1
M2L,MCL,1
M2R,M3R,1
M2R,MCR,11
M2R,MI,5
M3L,NSMR,1
M3R,NSMR,2
M4,M4,1
M4,M5,2
M5,M5,1
NSML,NSMR,2
OLLL,OLLR,11
OLLL,RIGL,3
OLLR,RIGR,5
OLQDL,RIBL,5
OLQDL,RIGL,3
OLQDL,RMDVL,1
OLQDL,URBL,3
OLQDR,RIBR,5
OLQDR,RIGR,4
OLQDR,RIH,2
OLQDR,RMDVR,1
OLQDR,URBR,7
OLQVL,RIBL,2
OLQVL,RIGL,2
OLQVL,RMDDL,3
OLQVR,RIBR,6
OLQVR,RIGR,6
OLQVR,RMDDR,1
OLQVR,RMDVL,2
OLQVR,RMHR,1
OLQVR,URBR,5
PDA,PDB,5
PDA,PHAR,1
PDA,PVQR,1
PDB,PVPL,1
PDB,PVR,13
PDB,RID,2
PDB,VD13,4
PDEL,PDER,25
PDEL,PLML,2
PDEL,PLMR,4
PDEL,PVCL,2
PDEL,PVM,11
PDEL,PVR,8
PDEL,VB10,1
PDEL,VD06,2
PDER,PLML,3
PDER,PLMR,2
PDER,PVCL,1
PDER,PVCR,2
PDER,PVDR,1
PDER,PVM,8
PDER,PVR,9
PDER,VB09,7
PDER,VB10,4
PDER,VD09,5
PHAL,PHAR,7
PHAL,PHCL,1
PHAL,PLNL,1
PHAL,PVPR,7
PHAR,PHCR,1
PHAR,PLNR,6
PHAR,PVPL,15
PHAR,PVR,2
PHBL,PHBR,17
PHBL,PLNL,1
PHBL,PVCL,3
PHBL,PVQL,3
PHBR,PHCR,1
PHBR,PVPL,1
PHBR,PVT,1
PHCL,PHCR,2
PHCL,PLNL,2
PHCL,VA12,1
PHCR,PVCR,5
PLML,PVCL,4
PLML,PVR,15
PLMR,PLNR,1
PLMR,PVCR,8
PLMR,PVR,3
PLNR,VA02,2
PQR,PVCL,2
PQR,PVNL,3
PQR,PVNR,2
PQR,PVPL,16
PQR,PVPR,10
PVCL,PVCR,67
PVCL,PVNL,2
PVCL,PVWL,4
PVCL,VA12,18
PVCL,VB10,2
PVCL,VB11,4
PVCL,VD13,1
PVCR,PVDL,1
PVCR,PVDR,2
PVCR,PVR,19
PVCR,PVT,4
PVCR,PVWL,10
PVCR,PVWR,10
PVCR,SIBDR,1
PVCR,SIBVL,1
PVCR,SIBVR,1
PVCR,VA09,3
PVCR,VA11,3
PVCR,VA12,8
PVCR,VB10,1
PVCR,VB11,2
PVDL,PVDR,3
PVDL,VA10,1
PVDR,VD09,1
PVM,PVM,1
PVM,PVR,1
PVM,VD09,1
PVNL,PVNR,2
PVNL,PVPL,2
PVNL,PVT,2
PVNR,PVPR,2
PVNR,PVR,5
PVNR,PVT,3
PVNR,PVWR,6
PVNR,VD13,1
PVPL,PVPL,1
PVPL,PVPR,2
PVPL,PVQL,8
PVPL,PVT,14
PVPL,RIGL,2
PVPL,VA12,1
PVPL,VD13,11
PVPR,PVT,17
PVPR,PVWL,1
PVPR,RMGR,3
PVPR,VC01,1
PVPR,VD12,35
PVQL,PVQR,46
PVQR,PVT,1
PVQR,PVWR,1
PVR,PVWR,2
PVR,VD13,1
PVT,PVWR,2
PVT,RMEV,1
PVT,URAVL,1
PVT,VC02,1
PVT,VC03,1
PVT,VC05,2
PVT,VC06,2
PVT,VD11,3
PVT,VD12,4
PVT,VD13,17
PVWL,PVWR,2
PVWL,VD13,1
PVWR,VD13,2
RIAL,RIBL,1
RIAL,SMDVL,4
RIAR,RMDDL,1
RIAR,RMDDR,1
RIAR,SAAVR,1
RIAR,SIAVL,1
RIAR,SIAVR,1
RIAR,SMDDL,1
RIAR,SMDVR,1
RIBL,RIBL,3
RIBL,RIBR,15
RIBL,RIGL,3
RIBL,RMEV,2
RIBL,SIADL,2
RIBL,SIAVL,1
RIBL,SIBDL,5
RIBL,SIBVR,2
RIBL,SMDDL,3
RIBR,RIBR,5
RIBR,RIGR,2
RIBR,SIADR,3
RIBR,SIAVR,2
RIBR,SIBDR,2
RIBR,SIBVR,6
RIBR,SMBDR,2
RIBR,SMDDL,4
RIBR,SMDDR,2
RICR,RMHR,1
RICR,URXR,1
RID,RID,5
RIFL,VD01,1
RIFR,RMGR,1
RIGL,RIGR,81
RIGL,RMEL,2
RIGL,RMFL,1
RIGL,URYDL,4
RIGL,URYVL,3
RIGL,VD01,3
RIGR,RMFL,1
RIGR,URYDR,3
RIGR,VD01,2
RIML,RIS,2
RIML,RMDL,1
RIML,RMFL,3
RIML,SIADL,1
RIMR,RIS,2
RIMR,SIADR,1
RIPL,RIPL,4
RIPL,RIPR,2
RIPL,RMED,2
RIPL,URAVL,1
RIPR,RMED,4
RIS,RMDR,1
RIS,RMEV,1
RIS,SMDDL,2
RIS,SMDDR,5
RIS,SMDVL,2
RIVL,RIVR,28
RIVL,SAADR,2
RIVL,SDQR,5
RIVL,SIBDR,1
RIVL,SMDVL,2
RIVR,SAADL,1
RIVR,SDQR,3
RIVR,SMDVR,8
RMDDL,RMDL,1
RMDDL,RMDVL,2
RMDDL,SIBVR,2
RMDDL,SMDDL,3
RMDDR,RMDL,1
RMDDR,RMDVR,5
RMDDR,RMGL,1
RMDDR,SAADR,1
RMDDR,SIADL,1
RMDDR,SMDDR,1
RMDL,RMDVL,1
RMDL,RMER,1
RMDL,SIAVR,1
RMDL,SIBVL,2
RMDL,SMDDL,2
RMDR,RMDVR,1
RMDVL,SAAVL,3
RMDVL,SIAVR,1
RMDVL,SIBVR,1
RMDVL,SMDVL,5
RMDVR,SAADL,1
RMDVR,SAAVR,9
RMDVR,SIAVL,1
RMDVR,SMDVR,8
RMED,RMEV,6
RMEL,RMEV,4
RMER,RMEV,1
RMEV,SMDVL,1
RMFL,SAADR,1
RMFL,SAAVR,1
RMGL,RMHL,6
RMGL,URXL,3
RMGR,RMHL,1
RMGR,RMHR,4
RMGR,SMBVR,3
RMGR,URXR,5
RMHL,SIBVR,3
RMHL,SMDDL,1
SAADL,SDQR,1
SAADL,SMBDL,3
SAAVL,SAAVR,1
SAAVL,SMBDR,2
SAAVL,SMBVR,17
SAAVL,SMDVL,8
